"PIN","gender","finInvest","timeInvest","emotClose","sameOrDiff","partner","cluster","finDeviation","timeDeviation","emotDeviation","wellRounded","finInvestRC","timeInvestRC","emotCloseRC","compInvest"
81,"1",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
37,"0",4,5,3,"1","blueClust",3,0,1,1,0,4,3,5,4
181,"0",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
185,"1",6,4,4,"0","blueClust",3,2,0,0,0,2,4,4,3.33333333333333
50,"0",4,4,4,"0","blueClust",2,0,0,0,1,4,4,4,4
78,"0",4,2,2,"0","blueClust",1,0,2,2,1,4,6,6,5.33333333333333
36,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
1,"1",4,4,2,"1","blueClust",1,0,0,2,1,4,4,6,4.66666666666667
129,"1",4,3,3,"0","blueClust",1,0,1,1,1,4,5,5,4.66666666666667
31,"0",4,4,3,"0","blueClust",2,0,0,1,1,4,4,5,4.33333333333333
42,"1",4,4,1,"0","blueClust",1,0,0,3,1,4,4,7,5
88,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
148,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
54,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
77,"0",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
142,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
3,"0",2,3,3,"0","blueClust",1,2,1,1,1,6,5,5,5.33333333333333
108,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
222,"1",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
136,"0",5,3,3,"0","blueClust",2,1,1,1,1,3,5,5,4.33333333333333
133,"1",4,3,2,"1","blueClust",1,0,1,2,1,4,5,6,5
184,"0",5,4,3,"1","blueClust",3,1,0,1,0,3,4,5,4
32,"0",5,5,2,"0","blueClust",2,1,1,2,1,3,3,6,4
159,"0",5,6,4,"1","blueClust",3,1,2,0,0,3,2,4,3
23,"1",7,7,3,"0","blueClust",1,3,3,1,1,1,1,5,2.33333333333333
92,"1",3,4,2,"0","blueClust",1,1,0,2,1,5,4,6,5
39,"1",6,5,3,"0","blueClust",1,2,1,1,1,2,3,5,3.33333333333333
174,"0",3,5,4,"1","blueClust",3,1,1,0,0,5,3,4,4
157,"0",2,2,1,"0","blueClust",3,2,2,3,0,6,6,7,6.33333333333333
200,"1",4,1,3,"1","blueClust",1,0,3,1,1,4,7,5,5.33333333333333
194,"0",4,2,2,"0","blueClust",3,0,2,2,0,4,6,6,5.33333333333333
210,"1",2,3,2,"0","blueClust",3,2,1,2,0,6,5,6,5.66666666666667
132,"1",2,2,1,"0","blueClust",3,2,2,3,0,6,6,7,6.33333333333333
205,"1",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
127,"1",4,5,2,"1","blueClust",3,0,1,2,0,4,3,6,4.33333333333333
171,"0",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
213,"0",4,4,3,"0","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
104,"1",7,6,5,"0","blueClust",1,3,2,1,1,1,2,3,2
46,"0",3,3,2,"0","blueClust",3,1,1,2,0,5,5,6,5.33333333333333
97,"1",5,3,4,"1","blueClust",1,1,1,0,1,3,5,4,4
160,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
146,"0",4,3,2,"1","blueClust",3,0,1,2,0,4,5,6,5
35,"1",3,4,1,"0","blueClust",3,1,0,3,0,5,4,7,5.33333333333333
134,"0",5,5,4,"0","blueClust",1,1,1,0,1,3,3,4,3.33333333333333
201,"1",3,3,2,"0","blueClust",3,1,1,2,0,5,5,6,5.33333333333333
204,"0",4,4,3,"0","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
76,"0",6,2,1,"0","blueClust",3,2,2,3,0,2,6,7,5
203,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
223,"1",2,2,3,"1","blueClust",3,2,2,1,0,6,6,5,5.66666666666667
49,"0",2,3,1,"0","blueClust",2,2,1,3,1,6,5,7,6
175,"0",5,5,4,"1","blueClust",3,1,1,0,0,3,3,4,3.33333333333333
44,"1",4,4,3,"0","blueClust",2,0,0,1,1,4,4,5,4.33333333333333
152,"1",4,4,3,"0","blueClust",2,0,0,1,1,4,4,5,4.33333333333333
100,"1",2,2,1,"0","blueClust",3,2,2,3,0,6,6,7,6.33333333333333
198,"1",5,6,5,"0","blueClust",1,1,2,1,1,3,2,3,2.66666666666667
220,"0",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
209,"1",4,4,3,"0","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
7,"0",4,2,2,"0","blueClust",1,0,2,2,1,4,6,6,5.33333333333333
29,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
83,"0",7,6,4,"0","blueClust",1,3,2,0,1,1,2,4,2.33333333333333
115,"0",6,6,2,"0","blueClust",1,2,2,2,1,2,2,6,3.33333333333333
17,"1",5,5,4,"1","blueClust",1,1,1,0,1,3,3,4,3.33333333333333
105,"0",4,4,3,"1","blueClust",2,0,0,1,1,4,4,5,4.33333333333333
85,"0",4,4,3,"0","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
130,"0",6,6,4,"0","blueClust",2,2,2,0,1,2,2,4,2.66666666666667
110,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
158,"1",5,3,2,"1","blueClust",3,1,1,2,0,3,5,6,4.66666666666667
173,"0",4,4,3,"0","blueClust",2,0,0,1,1,4,4,5,4.33333333333333
101,"0",4,4,3,"1","blueClust",3,0,0,1,0,4,4,5,4.33333333333333
218,"1",4,4,3,"1","blueClust",1,0,0,1,1,4,4,5,4.33333333333333
187,"0",3,3,2,"1","blueClust",3,1,1,2,0,5,5,6,5.33333333333333
