"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_3_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","jealousy_proneness_1","jealousy_intensity_1","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","attncheck9","orange_gender","orange_gender._3_TEXT","blue_gender","blue_gender_3_TEXT","self_ambition1","self_ambition2","attn_check8","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","entered_poly","openness_poly","fin_invest","time_invest","emot_close","roles_blue","roles_orange","monog_attn","poly_attn","actual_a_ambition1","actual_a_ambition2","attn_check10","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","attn_check10.1","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","textQuality","monog_attn_dup","poly_attn_dup","PIN","raceText","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","group"
35,"1","1","","1","","6","0","2",1,"",1,4,5,6,4,5,6,5,5,6,6,5,5,6,4,2,9,"0","","0","",5,5,8,6,5,7,8,6,7,5,4,5,5,5,5,2,3,4,4,3,"1,2,3,5,6,9","1,2,4,5,10","A person could love more than one other person, and if everyone involved is okay with the arrangement, there isn't a moral reason to limit yourself.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",7,8,6,6,7,6,7,7,8,7,5,6,7,10,6,35,"1","",0,FALSE,NA,"80","White",5,5.5,7.5,6.5,4.5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6,6.5,7,7.5,5.5,6.5,"partnered_monog"
36,"0","2","","0","","6","0","2",1,"",2,7,3,4,5,5,5,3,5,5,6,6,6,6,5,6,9,"0","","0","",5,5,8,5,5,6,8,5,5,6,5,6,6,5,3,2,1,4,5,3,"10","1,2,4,5,10","They have different needs that separate people can both provide separately. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",7,6,9,9,5,5,9,5,7,9,8,6,7,10,6,29,"1","",0,FALSE,NA,"158","White",5,5,7,5,5.5,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,9,5,7,8,7,6.5,"partnered_monog"
29,"1","3","","0","","6","0","1",NA,"",NA,NA,3,5,10,5,10,1,1,3,5,10,5,10,1,1,9,"0","","0","",0,3,8,8,8,7,10,5,4,0,0,7,7,5,5,2,1,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10","To get all the things they want out of a relationship but instead divide it between people and not expect it all from a single other person.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"63","White",1.5,8,8.5,4.5,0,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
27,"1","3","","1","","6","0","1",NA,"",NA,NA,0,0,10,5,10,10,0,10,0,0,5,10,0,10,9,"0","","1","",4,4,8,5,5,6,7,4,3,4,2,4,5,5,5,2,2,6,4,4,"1,2,4,9,10","1,2,3,4,10","If it works for all parties and there's no bad feelings about it",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"188","White",4,5,6.5,3.5,3,4.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
21,"0","1","","0","","6","0","5",1,"",2,2,1,1,1,3,7,3,9,6,5,7,9,8,2,8,9,"1","","1","",7,7,8,9,10,10,10,5,5,5,5,5,5,8,7,2,1,4,4,4,"1,3","2","To get all the traits they want in someone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",9,9,6,8,8,8,9,9,5,8,8,8,6,10,5,20,"2","",0,FALSE,NA,"6","White",7,9.5,10,5,5,5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,8,9,6.5,8,5.5,"partnered_monog"
48,"0","1","","0","","6","0","2",1,"",5,7,1,7,4,8,8,2,5,5,5,5,5,5,5,5,9,"1","","1","",5,6,8,6,5,6,7,6,4,2,6,2,3,7,5,2,1,4,2,2,"1,3,4,5,10","1,2,4,10","Because all needs are not met by one partner ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",8,8,5,5,6,5,8,10,2,7,5,5,10,10,10,45,"2","",0,FALSE,NA,"54","White",5.5,5.5,6.5,5,4,2.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,5,5.5,9,4.5,5,10,"partnered_monog"
49,"0","1","","0","","1","0","1",NA,"",NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,"1","","1","",3,3,8,7,7,5,8,4,5,1,3,5,3,5,5,2,1,4,4,3,"1,2,4,5,9,10","1,2,4,5,9,10","wants more support from someone else besides current relationship, lack of companionship and can't be satisfied with one relationship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"201","Asian or Pacific Islander",3,7,6.5,4.5,2,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
36,"1","3","","1","","6","0","1",NA,"",NA,NA,1,9,10,2,8,2,6,2,10,10,1,5,2,2,9,"0","","0","",4,3,8,8,8,5,5,6,6,4,6,4,4,4,4,2,2,4,4,2,"1,2,3,6,9,10","1,2,6,10","Because they don’t have enough stress in their lives already? ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"153","White",3.5,8,5,6,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
19,"1","1","","1","","6","0","5",1,"",3,6,3,9,6,5,7,0,7,3,8,5,4,6,0,7,9,"0","","0","",6,6,8,8,8,6,6,6,5,3,5,8,8,6,7,2,2,4,3,3,"1,2,3","1,2,3,10","Not wanting to lose someone they were already dating",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",6,7,5,5,8,10,10,8,3,4,9,8,6,10,5,18,"1","",0,FALSE,NA,"175","White",6,8,6,5.5,4,8,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,5,9,9,3.5,8.5,5.5,"partnered_monog"
62,"0","1","","0","","6","0","1",NA,"",NA,NA,0,0,9,1,10,0,10,0,0,10,10,10,0,10,9,"1","","1","",7,7,8,5,5,7,10,5,4,5,5,5,1,8,5,2,1,4,4,3,"2,3,4,5,10","1,2,3,4,5,10","Needs different points of view.  A broader sense of support.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",0,FALSE,NA,"221","White",7,5,8.5,4.5,5,3,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"single_monog"
