"age","sex","sex_orient","sex_orient_4_TEXT","gender","gender_3_TEXT","race","poly_identity","rel_status","num_partners","num_partners_3_TEXT","name_partner","name_partner1","name_partner2","idealAmbitionBlue","idealAttractBlue","idealIntelBlue","idealSexyBlue","idealKindBlue","idealStatusBlue","idealWealthBlue","idealAmbitionOrange","idealAttractOrange","idealIntelOrange","idealSexyOrange","idealKindOrange","idealStatusOrange","idealWealthOrange","attncheck9","orange_gender","orange_gender._3_TEXT","blue_gender","blue_gender_3_TEXT","self_ambition1","self_ambition2","attn_check8","self_intel1","self_intel2","self_kind1","self_kind2","self_attract1","self_attract2","self_finance1","self_finance2","self_sexy1","self_sexy2","self_status1","self_status2","soi_partners","soi_oneencounter","soi_shortterm","soi_sexonly_1","soi_casual_agreement_1","soi_longterm_reverse_1","soi_fantasies1","soi_arousal","soi_fantasies2","fin_invest","time_invest","emot_close","roles_blue","roles_orange","actual_a_ambition1","actual_a_ambition2","attn_check10a","actual_a_intel1","actual_a_intel2","actual_a_kind1","actual_a_kind2","actual_a_attract1","actual_a_attract2","actual_a_finance1","actual_a_finance2","actual_a_sexy1","actual_a_sexy2","actual_a_status1","actual_a_status2","actual_a_age","actual_a_gender","actual_a_gender._4_TEXT","actual_b_ambition1","actual_b_ambition2","actual_b_intel1","actual_b_intel2","actual_b_kind1","actual_b_kind2","actual_b_attract1","actual_b_attract2","actual_b_finance1","actual_b_finance2","actual_b_sexy1","actual_b_sexy2","actual_b_status1","actual_b_status2","actual_b_age","actual_b_gender","actual_b_gender._4_TEXT","jealousy_proneness_1","jealousy_intensity_1","jealousy_proneness1_1","jealousy_intensity1_1","jealousy_proneness2_1","jealousy_intensity2_1","jealousy_sexual","jealousy_emotional.","jealousy_sexual1","jealousy_emotional1","jealousy_sexual2","jealous_emotional2","fin_invest_actual","time_invest_actual","emot_close_actual","roles_partnerA","roles_partnerB","actual_ambition1","actual_ambition2","actual_intel1","actual_intel2","actual_kind1","actual_kind2","actual_attract1","actual_attract2","actual_finance1","actual_finance2","actual_sexy1","actual_sexy2","actual_status1","attn_check10b","actual_status2","actual_partner_age","actual_gender","actual_gender_4_TEXT","poly_attn","textQuality","poly_attn_dup","PIN","raceText","self_ambition","self_intel","self_kind","self_attract","self_finance","self_sexy","self_status","actual_a_ambition","actual_a_intel","actual_a_kind","actual_a_attract","actual_a_finance","actual_a_sexy","actual_a_status","actual_b_ambition","actual_b_intel","actual_b_kind","actual_b_attract","actual_b_finance","actual_b_sexy","actual_b_status","actual_ambition","actual_intel","actual_kind","actual_attract","actual_finance","actual_sexy","actual_status","soiBehavior","soi_longtermR","soiAttitude","soiDesire","soiGlobal"
37,"1","3","","1","","6","1","1",NA,"","","","",0,7,5,6,5,6,6,5,4,4,5,6,5,6,9,"0","","0","",5,4,8,5,7,7,7,5,5,6,6,6,6,6,7,4,4,2,8,9,1,6,6,5,4,4,3,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I dont see myself committed to just one person. The sex is better with options too",0,FALSE,"106","White",4.5,6,7,5,6,6,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,9,8.66666666666667,5.66666666666667,5.88888888888889
30,"1","1","","1","","6","1","5",1,"","ML","","",1,7,3,10,6,2,5,0,9,5,8,7,5,2,9,"0","","0","",3,6,8,7,6,2,7,7,7,5,5,6,9,5,5,2,6,8,9,9,1,7,7,8,3,4,5,"1,2,3,4,5,10","1,2,3,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,"","",5,4,7,5,7,7,9,9,5,5,8,7,6,10,4,28,"1","","I like sexual variety and fantasies are fun.",0,FALSE,"83","White",4.5,6.5,4.5,7,5,7.5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6,7,9,5,7.5,5,5.33333333333333,9,9,7.33333333333333,7.22222222222222
37,"1","3","","1","","6","1","1",NA,"","","","",10,5,5,5,5,5,5,5,5,5,0,5,5,5,9,"1","","1","",5,5,8,5,5,5,5,8,5,5,5,5,5,9,5,1,1,1,3,3,5,2,2,2,4,4,3,"1,2,10","1,2,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","The variety that is guaranteed.",0,FALSE,"66","White",5,5,5,6.5,5,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3.66666666666667,2,2.22222222222222
49,"0","3","","0","","6","1","2",1,"","gn","","",1,5,7,6,6,5,2,4,5,7,6,5,5,6,9,"1","","1","",3,5,8,9,8,5,6,7,8,3,3,8,5,6,6,2,4,7,9,4,3,3,2,2,5,4,3,"1,2,3,4,10","1,2,3,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",1,1,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,"","",4,5,9,8,6,6,5,2,2,4,3,6,6,10,6,47,"2","","Enjoying the company of multiple people.",0,FALSE,"113","White",4,8.5,5.5,7.5,3,6.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,8.5,6,3.5,3,4.5,6,4.33333333333333,7,6.66666666666667,2.33333333333333,4.44444444444444
40,"1","1","","1","","6","1","2",1,"","PC","","",2,8,8,5,6,1,1,2,10,8,10,6,2,1,9,"0","","1","",9,8,8,8,9,8,10,8,7,9,8,7,10,9,8,2,6,8,5,7,8,3,2,3,7,7,5,"2,5","1,2,9,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",7,7,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,"","",9,7,9,9,10,10,9,8,8,7,8,8,10,10,10,40,"1","","Growing up it was difficult to maintain a monogomous relationship due to bad acne and other health issues",0,FALSE,"89","White",8.5,8.5,9,7.5,8.5,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,9,10,8.5,7.5,8,10,5.33333333333333,2,4.66666666666667,2.66666666666667,4.22222222222222
35,"1","1","","1","","1","1","1",NA,"","","","",6,8,8,8,7,7,7,8,8,3,0,0,0,0,9,"0","","0","",9,7,8,9,9,8,6,8,9,8,8,8,9,9,8,5,3,3,7,6,2,6,6,4,5,5,4,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Different taste of nature ",0,FALSE,"40","Asian or Pacific Islander",8,9,7,8.5,8,8.5,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.66666666666667,8,7,5.33333333333333,5.33333333333333
30,"1","3","","1","","2,6","1","2",2,"","","RF","NP",7,4,7,7,7,2,2,4,7,7,6,6,2,2,9,"0","","0","",8,7,8,7,9,8,7,6,6,9,8,6,7,7,7,4,5,5,6,7,1,4,4,4,4,4,3,"1,2","1,2",8,8,11,8,8,8,8,8,8,9,9,8,8,8,8,32,"1","",7,6,6,7,6,7,8,7,7,6,7,7,7,7,31,"1","",NA,NA,1,1,1,1,NA,NA,1,1,1,1,4,4,3,"1,2","1,2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","We all felt an attraction to each other and were all on board with what we were doing.",0,FALSE,"81","Multi-racial",7.5,8,7.5,6,8.5,6.5,7,8,8,8,8,9,8,8,6.5,6.5,6.5,7.5,6.5,7,7,NA,NA,NA,NA,NA,NA,NA,4.66666666666667,9,7.33333333333333,4,5.33333333333333
25,"0","3","","0","","6","1","5",1,"","DS","","",8,8,8,8,1,1,0,0,1,1,8,8,8,10,9,"1","","1","",8,8,8,7,8,10,10,8,8,7,8,7,4,10,10,2,1,2,9,3,9,3,2,2,3,4,3,"3,10","1,2,4,10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",2,4,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,"","",10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,27,"2","","Feeling like love is so beautiful and essential to life and not wanting to hold that feeling back. ",0,FALSE,"170","White",8,7.5,10,8,7.5,5.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,10,10,7.5,10,10,1.66666666666667,1,4.33333333333333,2.33333333333333,2.77777777777778
39,"1","1","","1","","6","1","5",2,"","","SS","KS",4,5,5,5,5,6,5,6,3,3,4,6,7,6,9,"0","","0","",7,8,8,9,8,8,8,7,7,9,8,8,9,9,8,3,4,3,7,8,4,8,7,8,5,4,4,"2,4","3,5,10",8,7,11,7,7,9,7,8,8,8,8,7,7,9,9,38,"1","",8,8,9,7,6,7,7,10,6,6,9,8,7,7,35,"1","",NA,NA,4,3,5,6,NA,NA,3,2,4,3,4,5,4,"1,4","1,2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I would say that it had to do with my options. I would not have done so if the situation had not been presented to me in the first place, but to my surprise it was. I had originally planned to not be in such a relationship, but when the opportunity presented itself to me, it was something I wanted to pursue. ",0,FALSE,"14","White",7.5,8.5,8,7,8.5,8.5,8.5,7.5,7,8,8,8,7,9,8,8,6.5,8.5,6,8.5,7,NA,NA,NA,NA,NA,NA,NA,3.33333333333333,6,7,7.66666666666667,6
34,"1","3","","1","","6","1","2",2,"","","SC","DS",8,5,3,5,8,4,5,6,3,6,5,6,2,4,9,"0","","1","",6,8,8,9,8,8,7,8,6,9,8,9,5,7,9,3,2,3,1,5,6,2,3,3,6,4,4,"1,3","1,2,3,6",8,7,11,5,6,4,8,9,7,5,8,8,7,7,8,30,"1","",7,6,7,4,7,4,2,4,5,7,4,7,5,6,32,"2","",NA,NA,5,5,5,6,NA,NA,3,3,4,3,2,2,1,"1,2,3,6","1,2,4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","I don't want to be overstressed and am a bisexual.",0,FALSE,"5","White",7,8.5,7.5,7,8.5,7,8,7.5,5.5,6,8,6.5,7.5,7.5,6.5,5.5,5.5,3,6,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,2.66666666666667,4,3.33333333333333,2.66666666666667,2.88888888888889
