StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_3_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,jealousy_proneness_1,jealousy_intensity_1,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,attncheck9,orange_gender ,orange_gender _3_TEXT,blue_gender,blue_gender_3_TEXT,self_ambition1,self_ambition2 ,attn_check8,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,entered_poly,openness_poly,fin_invest,time_invest,emot_close,roles_blue ,roles_orange,monog_attn,poly_attn,actual_a_ambition1,actual_a_ambition2,attn_check10,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,attn_check10,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT,textQuality
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Distribution Channel,User Language,What is your age (in years)?,What is the sex you were assigned at birth?,Which of the following best describes your sexual orientation? - Selected Choice,Which of the following best describes your sexual orientation? - An option not listed here - Text,What is your gender? - Selected Choice,What is your gender? - An option not listed here - Text,Which of the following best describes your race/ethnicity? (Select all that apply.),"Would you consider yourself polyamorous? 
 

Note: Polyamory is defined as a relationship orientation in which participants can pursue more than one long-term romantic partner and where these additional relationships are consented to and known about by all people involved.",What is your relationship status?,How many romantic partners do you currently have? - Selected Choice,How many romantic partners do you currently have? - 3 or more (please specify how many): - Text,"In your current romantic relationship, how prone are you to feeling jealousy? - 1",Think back to the most jealousy-provoking event in your current romantic relationship. How jealous did you feel? - 1,"For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Ambition (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Physical Attractiveness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Intelligence (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Good in Bed (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Kindness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Social Status (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Financial Prospects (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Ambition (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Physical Attractiveness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Intelligence (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Good in Bed (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Kindness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Social Status (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Financial Prospects (Partner Orange)</span>","Please choose (Top 3 out of 100 people).



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",What gender should partner Orange be? - Selected Choice,What gender should partner Orange be? - An option not listed here - Text,What gender should partner Blue be? - Selected Choice,What gender should partner Blue be? - An option not listed here - Text,How driven are you?,How ambitious are you?,"Please choose (Top 18 out of 100 people). 



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How intelligent are you?,How knowledgeable are you?,How generous are you?,How considerate are you?,How attractive is your face?,How attractive is your body?,How financially stable are you?,How good is your earning potential?,How good in bed are you?,How strong is your sexual desire?,How respected by others are you?,How looked up to by others are you?,"Have you ever entered into a polyamorous relationship in your lifetime?
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partner is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","I am open to entering into a polyamorous relationship in my lifetime.
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","If you were in a long-term, romantic relationship with both partner Blue and partner Orange, how would you divide your financial investment between the two partners?","If you were in a long-term, romantic relationship with both partner Blue and partner Orange, how would you divide your time between the two partners?",How emotionally close do you think you would feel to partner Blue compared to partner Orange?,What roles would you envision partner Blue taking in your life? (Please select all that apply.),What roles would you envision partner Orange taking in your life? (Please select all that apply.),"Why do you think someone would enter into a polyamorous relationship?

 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).",What motivated you to enter into a polyamorous relationship?,How driven is your first current partner?,How ambitious is your first current partner?,"Please choose (Top 1 out of 100 people). 



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How intelligent is your first current partner?,How knowledgeable is your first current partner?,How generous is your first current partner?,How considerate is your first current partner?,How attractive is your first current partner's face?,How attractive is your first current partner's body?,How financially stable is your first current partner?,How good is your first current partner's earning potential?,How good in bed is your first current partner?,How strong is your first current partner's sexual desire?,How respected by others is your first current partner?,How looked up to by others is your first current partner?,How old is your first current partner (in years)?,What gender is your first current partner? - Selected Choice,What gender is your first current partner? - An option not listed here - Text,How driven is your second current partner?,How ambitious is your second current partner?,How intelligent is your second current partner?,How knowledgeable is your second current partner?,How generous is your second current partner?,How considerate is your second current partner?,How attractive is your second current partner's face?,How attractive is your second current partner's body?,How financially stable is your second current partner?,How good is your second current partner's earning potential?,How good in bed is your second current partner?,How strong is your second current partner's sexual desire?,How respected by others is your second current partner?,How looked up to by others is your second current partner?,How old is your second current partner?,What gender is your second current partner? - Selected Choice,What gender is your second current partner? - An option not listed here - Text,How driven is your current partner?,How ambitious is your current partner?,How intelligent is your current partner?,How knowledgeable is your current partner?,How generous is your current partner?,How considerate is your current partner?,How attractive is your current partner's face?,How attractive is your current partner's body?,How financially stable is your current partner?,How good is your current partner's earning potential?,How good in bed is your current partner?,How strong is your current partner's sexual desire?,How respected by others is your current partner?,"Please choose (Top 1 out of 100 people).



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How looked up to by others is your current partner?,How old is your current partner?,What gender is your current partner? - Selected Choice,What gender is your current partner? - An option not listed here - Text,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID169""}","{""ImportId"":""QID14""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_3_TEXT""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID186_2""}","{""ImportId"":""QID186_3""}","{""ImportId"":""QID186_4""}","{""ImportId"":""QID186_5""}","{""ImportId"":""QID186_6""}","{""ImportId"":""QID186_7""}","{""ImportId"":""QID186_8""}","{""ImportId"":""QID186_9""}","{""ImportId"":""QID186_10""}","{""ImportId"":""QID186_11""}","{""ImportId"":""QID186_12""}","{""ImportId"":""QID186_13""}","{""ImportId"":""QID186_14""}","{""ImportId"":""QID259""}","{""ImportId"":""QID243""}","{""ImportId"":""QID243_4_TEXT""}","{""ImportId"":""QID244""}","{""ImportId"":""QID244_3_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID256""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID161""}","{""ImportId"":""QID164""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID253""}","{""ImportId"":""QID254""}","{""ImportId"":""QID260""}","{""ImportId"":""QID187_TEXT""}","{""ImportId"":""QID189_TEXT""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID258""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID207""}","{""ImportId"":""QID207_4_TEXT""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID224_4_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID257""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240_TEXT""}","{""ImportId"":""QID241""}","{""ImportId"":""QID241_4_TEXT""}",
3/11/23 6:08,3/11/23 6:19,0,100,619,1,3/11/23 6:19,R_1dEx1Kn55v74WPk,,,,,anonymous,EN,46,0,1,,0,,6,0,1,,,,,1,6,2,3,4,5,6,4,8,7,8,2,7,7,1,1,,1,,5,8,4,7,8,9,9,7,3,7,6,9,8,3,7,1,,4,3,4,"1,2,4,5,9,10","2,3,9,10",Waiting for one of them to commit so filling their time with the other partner,Waiting for one dude to commit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/11/23 6:17,3/11/23 6:25,0,100,475,1,3/11/23 6:25,R_XAn9mZ1w1QDtd8l,,,,,anonymous,EN,35,1,1,,1,,6,0,2,1,,1,4,5,6,4,5,6,5,5,6,6,5,5,6,4,2,9,0,,0,,6,6,8,7,6,8,9,7,8,6,5,6,6,6,6,2,3,4,4,3,"1,2,3,5,6,9","1,2,4,5,10","A person could love more than one other person, and if everyone involved is okay with the arrangement, there isn't a moral reason to limit yourself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,7,7,8,7,8,8,9,8,6,7,8,10,7,35,1,,0
3/11/23 6:21,3/11/23 6:28,0,100,392,1,3/11/23 6:28,R_1LIo58QJiI8Qlvm,,,,,anonymous,EN,26,1,1,,1,,6,0,1,,,,,6,5,6,8,3,8,8,1,10,1,6,6,1,1,1,0,,0,,6,6,4,7,11,7,9,6,6,3,6,4,6,6,5,2,1,6,5,4,"1,3,4,5,9","1,2,4,6,9",They either are genuinely interested in multiple people or they are lying to themselves.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/11/23 6:18,3/11/23 6:28,0,100,600,1,3/11/23 6:28,R_1IzQOxzbgvBC183,,,,,anonymous,EN,36,0,2,,0,,6,0,2,1,,2,7,3,4,5,5,5,3,5,5,6,6,6,6,5,6,9,0,,0,,6,6,8,6,6,7,9,6,6,7,6,7,7,6,4,2,1,4,5,3,10,"1,2,4,5,10",They have different needs that separate people can both provide separately. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,10,10,6,6,10,6,8,10,9,7,8,10,7,29,1,,0
3/11/23 6:20,3/11/23 6:31,0,100,632,1,3/11/23 6:31,R_2Y3V3EAO9dJVIGa,,,,,anonymous,EN,25,1,4,questioning/greysexual,3,agender/intersex,6,1,5,1,,2,3,6,5,6,5,8,2,3,5,5,6,4,8,2,5,9,2,,2,,6,7,8,8,8,8,9,6,6,3,7,7,5,5,5,1,,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",,"I was in an online relationship at one point, and they brought it up. I have read about it a lot before, I saw no issues against it. That relationship didn't last very long, but I never felt there was a reason against polyamory past that. I feel it is inherent human nature to desire a large familial belonging..it feels right to my soul and body, to give the respect to myself and the people around me the rights and freedoms that should be there.

About a decade has passed, and now it seems like monogamous people carry these negative traits that often border a much more toxic environment than what I desire. Like, a controlling and entitled nature, a more sexist and bigoted world. I do not know how much scientific truth is to that, but limiting my romantic relationships to experienced poly people has removed those things from my life.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,8,7,8,7,7,6,6,6,6,4,5,10,5,24,3,,0
3/11/23 6:25,3/11/23 6:32,0,100,418,1,3/11/23 6:32,R_REQ0hJjzMAUQs4V,,,,,anonymous,EN,29,1,3,,0,,6,0,1,,,,,3,5,10,5,10,1,1,3,5,10,5,10,1,1,9,0,,0,,1,4,8,9,9,8,11,6,5,1,1,8,8,6,6,2,1,4,4,3,"1,2,3,4,5,6,9,10","1,2,3,4,5,6,9,10",To get all the things they want out of a relationship but instead divide it between people and not expect it all from a single other person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/11/23 6:23,3/11/23 6:36,0,100,741,1,3/11/23 6:36,R_3KolURmLpJPwDJ6,,,,,anonymous,EN,27,1,3,,1,,6,0,1,,,,,0,0,10,5,10,10,0,10,0,0,5,10,0,10,9,0,,1,,5,5,8,6,6,7,8,5,4,5,3,5,6,6,6,2,2,6,4,4,"1,2,4,9,10","1,2,3,4,10",If it works for all parties and there's no bad feelings about it,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3/11/23 6:32,3/11/23 6:38,0,100,394,1,3/11/23 6:38,R_1o1HuXIN7pZMukF,,,,,anonymous,EN,22,0,3,,2,,6,0,5,1,,2,4,6,4,7,6,9,1,2,6,4,7,6,9,1,2,9,0,,1,,6,6,8,6,6,6,6,2,2,2,2,6,11,2,2,2,2,4,4,3,6,6,I dont think its outlandish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,11,11,11,11,11,11,11,11,11,6,11,10,11,24,2,,0
