StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_4_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,jealousy_proneness_1,jealousy_intensity_1,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,orange_gender ,orange_gender _4_TEXT,blue_gender,self_ambition1,self_ambition2 ,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,entered_poly,openness_poly,monog_attn,poly_attn,actual_a_ambition1,actual_a_ambition2,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT,textQuality
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age (in years)?,What is the sex you were assigned at birth?,Which of the following best describes your sexual orientation? - Selected Choice,Which of the following best describes your sexual orientation? - An option not listed here - Text,What is your gender? - Selected Choice,What is your gender? - An option not listed here - Text,Which of the following best describes your race/ethnicity? (Select all that apply.),"Would you consider yourself polyamorous? 
 

Note: Polyamory is defined as a relationship orientation in which participants can pursue more than one long-term romantic partner and where these additional relationships are consented to and known about by all people involved.",What is your relationship status?,How many romantic partners do you currently have? - Selected Choice,How many romantic partners do you currently have? - 3 or more (please specify how many): - Text,"In your current romantic relationship, how prone are you to feeling jealousy? - 1",Think back to the most jealousy-provoking event in your current romantic relationship. How jealous did you feel? - 1,"For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Ambition (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Physical Attractiveness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Intelligence (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Good in Bed (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Kindness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Social Status (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Financial Prospects (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Ambition (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Physical Attractiveness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Intelligence (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Good in Bed (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Kindness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Social Status (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Financial Prospects (Partner Orange)</span></strong>",What gender should partner Orange be? - Selected Choice,What gender should partner Orange be? - An option not listed here - Text,What gender should partner Blue be?,How driven are you?,How ambitious are you?,How intelligent are you?,How knowledgeable are you?,How generous are you?,How considerate are you?,How attractive is your face?,How attractive is your body?,How financially stable are you?,How good is your earning potential?,How good in bed are you?,How strong is your sexual desire?,How respected by others are you?,How looked up to by others are you?,"Have you ever entered into a polyamorous relationship in your lifetime?
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partner is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","I am open to entering into a polyamorous relationship in my lifetime.
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","Why do you think someone would enter into a polyamorous relationship?

 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).",What motivated you to enter into a polyamorous relationship?,How driven is your first current partner?,How ambitious is your first current partner?,How intelligent is your first current partner?,How knowledgeable is your first current partner?,How generous is your first current partner?,How considerate is your first current partner?,How attractive is your first current partner's face?,How attractive is your first current partner's body?,How financially stable is your first current partner?,How good is your first current partner's earning potential?,How good in bed is your first current partner?,How strong is your first current partner's sexual desire?,How respected by others is your first current partner?,How looked up to by others is your first current partner?,How old is your first current partner (in years)?,What gender is your first current partner? - Selected Choice,What gender is your first current partner? - An option not listed here - Text,How driven is your second current partner?,How ambitious is your second current partner?,How intelligent is your second current partner?,How knowledgeable is your second current partner?,How generous is your second current partner?,How considerate is your second current partner?,How attractive is your second current partner's face?,How attractive is your second current partner's body?,How financially stable is your second current partner?,How good is your second current partner's earning potential?,How good in bed is your second current partner?,How strong is your second current partner's sexual desire?,How respected by others is your second current partner?,How looked up to by others is your second current partner?,How old is your second current partner?,What gender is your second current partner? - Selected Choice,What gender is your second current partner? - An option not listed here - Text,How driven is your current partner?,How ambitious is your current partner?,How intelligent is your current partner?,How knowledgeable is your current partner?,How generous is your current partner?,How considerate is your current partner?,How attractive is your current partner's face?,How attractive is your current partner's body?,How financially stable is your current partner?,How good is your current partner's earning potential?,How good in bed is your current partner?,How strong is your current partner's sexual desire?,How respected by others is your current partner?,How looked up to by others is your current partner?,How old is your current partner?,What gender is your current partner? - Selected Choice,What gender is your current partner? - An option not listed here - Text,
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID169""}","{""ImportId"":""QID14""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_3_TEXT""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID186_2""}","{""ImportId"":""QID186_3""}","{""ImportId"":""QID186_4""}","{""ImportId"":""QID186_5""}","{""ImportId"":""QID186_6""}","{""ImportId"":""QID186_7""}","{""ImportId"":""QID186_8""}","{""ImportId"":""QID186_9""}","{""ImportId"":""QID186_10""}","{""ImportId"":""QID186_11""}","{""ImportId"":""QID186_12""}","{""ImportId"":""QID186_13""}","{""ImportId"":""QID186_14""}","{""ImportId"":""QID243""}","{""ImportId"":""QID243_4_TEXT""}","{""ImportId"":""QID244""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID161""}","{""ImportId"":""QID164""}","{""ImportId"":""QID187_TEXT""}","{""ImportId"":""QID189_TEXT""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID207""}","{""ImportId"":""QID207_4_TEXT""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID224_4_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240_TEXT""}","{""ImportId"":""QID241""}","{""ImportId"":""QID241_4_TEXT""}",
11/18/22 7:08,11/18/22 7:14,0,68.119.33.250,100,358,1,11/18/22 7:14,R_OI2t0RnEeFEa4k9,,,,,35.7532,-81.3264,anonymous,EN,29,0,3,,1,,6,0,5,1,,2,4,6,4,5,5,7,6,7,6,4,5,6,7,1,1,1,,2,8,9,8,7,5,7,5,6,5,8,6,3,6,7,1,,,I was emotionally coerced by my bf at the time so he could justify cheating.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,5,6,6,5,6,6,7,3,8,5,7,7,29,2,,0
11/18/22 7:06,11/18/22 7:15,0,50.213.206.141,100,542,1,11/18/22 7:15,R_WxSg97Wvn81Yc3D,,,,,38.9512,-76.4944,anonymous,EN,30,0,1,,1,,6,0,5,1,,3,5,5,7,5,5,8,0,6,5,7,5,5,6,0,6,2,,2,9,10,9,9,5,8,9,8,6,6,8,7,8,7,2,3,To stay satisfied throughout their life or so they do not become bored with one partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,7,9,9,8,3,8,7,3,5,9,7,31,2,,0
11/18/22 7:15,11/18/22 7:21,0,73.109.82.82,100,380,1,11/18/22 7:21,R_pLeKWr6jw0EqIDL,,,,,47.2315,-122.3592,anonymous,EN,38,3,4,queer,3,,6,1,5,1,,4,4,1,7,7,7,7,3,3,1,7,7,7,7,3,3,4,NA,3,8,6,7,6,7,7,6,6,6,5,6,8,6,7,1,,,"There is an unlimited amount of love, and loving someone does not take away from loving someone else. People need community to thrive, it's natural to love more than one person.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,7,9,7,11,11,11,11,7,8,11,11,10,7,42,2,,0
11/18/22 7:21,11/18/22 7:27,0,172.56.6.84,100,362,1,11/18/22 7:27,R_22J48wLvan4bXHn,,,,,35.4127,-97.4456,anonymous,EN,36,0,1,,1,,"5,6",0,4,1,,1,2,6,9,1,5,7,2,4,2,8,1,7,6,5,7,2,,2,6,7,7,7,8,9,6,6,5,6,6,8,6,6,2,1,"I think for some people, it works. Some people don't want to just have one long term partner. They need variety and some people just feel like multiple people can meet all of their needs. I don't fully understand it and I wouldn't want a relationship like that, but I do know it works well for some people. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,8,9,8,8,10,10,6,6,8,8,7,8,42,2,,0
11/18/22 7:21,11/18/22 7:27,0,174.207.107.42,100,400,1,11/18/22 7:27,R_3hGEsPGIysjUcD0,,,,,41.141,-81.4768,anonymous,EN,25,0,1,,1,,6,0,1,,,,,5,5,6,6,6,5,5,6,5,6,6,6,3,0,2,,2,8,7,8,9,8,9,7,6,5,8,7,7,6,7,2,1,Some people may be comfortable in a consensual relationship with more than one partner. Each relationship may match a different need or desire. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:20,11/18/22 7:33,0,97.73.100.91,100,755,1,11/18/22 7:33,R_1GWEMM8H5LD27Qu,,,,,37.751,-97.822,anonymous,EN,34,1,1,,2,,2,2,1,,,,,4,5,5,4,4,10,5,5,5,5,6,5,5,2,1,,1,7,7,9,9,7,5,7,7,8,9,8,9,9,7,1,,,"I didn't know at the time.  I met one female.   Really liked her and got her number.   Then the next day i met another,  it was in the same place.   Like 3 days later i found out they knew each other and were actually already in a relationship.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11/18/22 7:25,11/18/22 7:34,0,24.101.118.134,100,498,1,11/18/22 7:34,R_3hxnSkI0yn2wPyx,,,,,40.8795,-79.93,anonymous,EN,29,1,3,,1,,6,0,5,1,,2,3,7,5,4,3,7,3,6,7,5,4,3,7,3,6,4,either,3,10,9,7,6,9,10,7,5,5,6,7,6,9,9,1,,,"I really liked the person, but he already had a boyfriend. They both proposed the idea to me one day and I moved in with them soon after.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,11,8,8,11,11,7,7,11,9,6,4,9,10,38,2,,0
11/18/22 7:31,11/18/22 7:39,0,47.18.16.215,100,466,1,11/18/22 7:39,R_24eIJVhyIO90G8G,,,,,41.5638,-73.7953,anonymous,EN,46,0,1,,1,,6,0,2,1,,2,6,5,7,5,9,7,3,5,6,7,3,6,2,0,5,2,,2,6,6,8,8,7,8,6,5,6,7,6,5,7,6,2,1,Variety,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,8,7,8,7,8,6,7,8,7,9,8,8,45,2,,0
