StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_4_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,jealousy_proneness_1,jealousy_intensity_1,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,orange_gender ,orange_gender _4_TEXT,blue_gender,self_ambition1,self_ambition2 ,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,entered_poly,openness_poly,monog_attn,poly_attn,actual_a_ambition1,actual_a_ambition2,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your age (in years)?,What is the sex you were assigned at birth?,Which of the following best describes your sexual orientation? - Selected Choice,Which of the following best describes your sexual orientation? - An option not listed here - Text,What is your gender? - Selected Choice,What is your gender? - An option not listed here - Text,Which of the following best describes your race/ethnicity? (Select all that apply.),"Would you consider yourself polyamorous? 
 

Note: Polyamory is defined as a relationship orientation in which participants can pursue more than one long-term romantic partner and where these additional relationships are consented to and known about by all people involved.",What is your relationship status?,How many romantic partners do you currently have? - Selected Choice,How many romantic partners do you currently have? - 3 or more (please specify how many): - Text,"In your current romantic relationship, how prone are you to feeling jealousy? - 1",Think back to the most jealousy-provoking event in your current romantic relationship. How jealous did you feel? - 1,"For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Ambition (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Physical Attractiveness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Intelligence (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Good in Bed (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Kindness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Social Status (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Financial Prospects (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Ambition (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Physical Attractiveness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Intelligence (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Good in Bed (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Kindness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Social Status (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two concurrent long-term romantic partners (partner Blue and partner Orange). Below are some of the many ways that romantic partners test to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Financial Prospects (Partner Orange)</span></strong>",What gender should partner Orange be? - Selected Choice,What gender should partner Orange be? - An option not listed here - Text,What gender should partner Blue be?,How driven are you?,How ambitious are you?,How intelligent are you?,How knowledgeable are you?,How generous are you?,How considerate are you?,How attractive is your face?,How attractive is your body?,How financially stable are you?,How good is your earning potential?,How good in bed are you?,How strong is your sexual desire?,How respected by others are you?,How looked up to by others are you?,"Have you ever entered into a polyamorous relationship in your lifetime?
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partner is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","I am open to entering into a polyamorous relationship in my lifetime.
 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).","Why do you think someone would enter into a polyamorous relationship?

 

Note: A polyamorous relationship is defined as a relationship in which a person has two or more romantic partners. Each partners is aware of the other(s), and has consented to the concurrent relationship(s) with the other person (or people).",What motivated you to enter into a polyamorous relationship?,How driven is your first current partner?,How ambitious is your first current partner?,How intelligent is your first current partner?,How knowledgeable is your first current partner?,How generous is your first current partner?,How considerate is your first current partner?,How attractive is your first current partner's face?,How attractive is your first current partner's body?,How financially stable is your first current partner?,How good is your first current partner's earning potential?,How good in bed is your first current partner?,How strong is your first current partner's sexual desire?,How respected by others is your first current partner?,How looked up to by others is your first current partner?,How old is your first current partner (in years)?,What gender is your first current partner? - Selected Choice,What gender is your first current partner? - An option not listed here - Text,How driven is your second current partner?,How ambitious is your second current partner?,How intelligent is your second current partner?,How knowledgeable is your second current partner?,How generous is your second current partner?,How considerate is your second current partner?,How attractive is your second current partner's face?,How attractive is your second current partner's body?,How financially stable is your second current partner?,How good is your second current partner's earning potential?,How good in bed is your second current partner?,How strong is your second current partner's sexual desire?,How respected by others is your second current partner?,How looked up to by others is your second current partner?,How old is your second current partner?,What gender is your second current partner? - Selected Choice,What gender is your second current partner? - An option not listed here - Text,How driven is your current partner?,How ambitious is your current partner?,How intelligent is your current partner?,How knowledgeable is your current partner?,How generous is your current partner?,How considerate is your current partner?,How attractive is your current partner's face?,How attractive is your current partner's body?,How financially stable is your current partner?,How good is your current partner's earning potential?,How good in bed is your current partner?,How strong is your current partner's sexual desire?,How respected by others is your current partner?,How looked up to by others is your current partner?,How old is your current partner?,What gender is your current partner? - Selected Choice,What gender is your current partner? - An option not listed here - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID169""}","{""ImportId"":""QID14""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_3_TEXT""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID186_2""}","{""ImportId"":""QID186_3""}","{""ImportId"":""QID186_4""}","{""ImportId"":""QID186_5""}","{""ImportId"":""QID186_6""}","{""ImportId"":""QID186_7""}","{""ImportId"":""QID186_8""}","{""ImportId"":""QID186_9""}","{""ImportId"":""QID186_10""}","{""ImportId"":""QID186_11""}","{""ImportId"":""QID186_12""}","{""ImportId"":""QID186_13""}","{""ImportId"":""QID186_14""}","{""ImportId"":""QID243""}","{""ImportId"":""QID243_4_TEXT""}","{""ImportId"":""QID244""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID161""}","{""ImportId"":""QID164""}","{""ImportId"":""QID187_TEXT""}","{""ImportId"":""QID189_TEXT""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID207""}","{""ImportId"":""QID207_4_TEXT""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID224_4_TEXT""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240_TEXT""}","{""ImportId"":""QID241""}","{""ImportId"":""QID241_4_TEXT""}"
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_b16f5sVyAVpiQDk,,,,,34.4373,-119.8341,test,,30,Prefer not to say,An option not listed here,Luctus arcu gravida atque arcu etiam pede at mattis nonummy? Atque vel atque rhoncus.,Non-binary,,Prefer not to say,"No, I do not consider myself polyamorous.",Single,,,,,9,3,9,10,0,5,10,8,6,8,0,2,0,0,Non-binary,,An option not listed here,Extremely driven(Top 1 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),(Bottom 3 out of 100 people),(Bottom 8 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Top 32 out of 100 people),(Top 18 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),(Top 3 out of 100 people),No,Strongly agree,"Suspendisse potenti dapibus magna accumsan bibendum diam turpis at iaculis. Culpa, interdum scelerisque.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,1,TRUE,11/17/22 13:34,R_6rndrzerdQxcLPM,,,,,34.4373,-119.8341,test,,54,Intersex,An option not listed here,"Purus interdum! Vulputate et odio, magna elit risus justo proin. Pellentesque.",An option not listed here,Euismod lacus vehicula accusamus curabitur! Aenean in lorem purus id. Ipsum ante.,Prefer not to say,"Yes, I consider myself polyamorous.",Engaged,3 or more (please specify how many):,67,6,3,10,4,7,1,10,7,9,10,6,0,4,1,1,0,An option not listed here,Massa magnis. Accusamus sapien ab suscipit dolor praesent? Per fermentum dui non phasellus.,Non-binary,(Top 18 out of 100 people),(Top 32 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Bottom 8 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Top 32 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Top 32 out of 100 people),(Top 32 out of 100 people),,,,"Diam? Ut curabitur! Vestibulum, ipsum, et mauris, purus sagittis? Facilisis nonummy scelerisque lacus.",(Top 18 out of 100 people),(Top 32 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),Average (Top 50 out of 100 people),(Top 32 out of 100 people),(Bottom 8 out of 100 people),(Top 3 out of 100 people),Extremely financially stable(Top 1 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),(Top 18 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),40,An option not listed here,Cras primis pharetra tincidunt est malesuada ut. Odio nibh consectetuer! Pellentesque. Est natoque.,Extremely apathetic(Bottom 1 out of 100 people),(Top 8 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),(Bottom 32 out of 100 people),Average (Top 50 out of 100 people),(Bottom 18 out of 100 people),(Top 32 out of 100 people),(Top 18 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Top 32 out of 100 people),(Top 8 out of 100 people),105,An option not listed here,Aenean sem placerat commodo. Bibendum morbi sem dictumst orci volutpat fermentum dolorem.,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_1ZE207G64cgI2RU,,,,,34.4373,-119.8341,test,,26,Intersex,Homosexual,,Non-binary,,Prefer not to say,"Yes, I consider myself polyamorous.",Prefer not to say,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_71iDHgfMx4Za3Vs,,,,,34.4373,-119.8341,test,,47,Male,Prefer not to say,,Male,,Prefer not to say,"Yes, I consider myself polyamorous.",Single,,,,,4,9,9,0,5,4,1,8,0,10,4,8,6,2,Female,,Female,(Bottom 8 out of 100 people),(Top 8 out of 100 people),(Top 8 out of 100 people),(Top 18 out of 100 people),(Top 3 out of 100 people),(Bottom 32 out of 100 people),(Bottom 3 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),(Top 3 out of 100 people),(Bottom 32 out of 100 people),(Top 3 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),Yes,,,Fringilla lectus cursus? Fusce mauris nulla proin lectus turpis etiam orci atque? Aliquam imperdiet dictumst.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_5hwzyOFosQcU0rI,,,,,34.4373,-119.8341,test,,92,Female,Prefer not to say,,Non-binary,,"Hispanic or Latino,White","No, I do not consider myself polyamorous.",Single,,,,,9,0,7,8,0,8,8,4,10,3,9,1,2,1,An option not listed here,Velit rutrum! Commodo eu! Accusamus volutpat auctor mattis ut? Tincidunt. Porttitor dignissim tellus molestie.,Male,Extremely apathetic(Bottom 1 out of 100 people),(Top 3 out of 100 people),Extremely unintelligent(Bottom 1 out of 100 people),(Top 8 out of 100 people),(Top 8 out of 100 people),(Top 8 out of 100 people),Average (Top 50 out of 100 people),(Bottom 3 out of 100 people),Extremely financially unstable(Bottom 1 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Bottom 18 out of 100 people),(Bottom 18 out of 100 people),Average (Top 50 out of 100 people),Extremely looked down upon by others(Bottom 1 out of 100 people),No,Neither agree nor disagree,"Porttitor eleifend. Consectetuer velit tellus euismod viverra elementum luctus culpa tempor eget, primis, ab ligula.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_7Wi6bSVnvyst0qi,,,,,34.4373,-119.8341,test,,69,Prefer not to say,Homosexual,,Male,,"Middle Eastern or North African,Native American or American Indian","No, I do not consider myself polyamorous.",In a relationship,3 or more (please specify how many):,46,7,2,5,5,4,2,7,9,5,6,5,10,10,1,1,0,An option not listed here,"Commodo vivamus non consequat purus quam morbi sollicitudin nec tempor, velit. Magna.",Female,(Bottom 3 out of 100 people),(Top 8 out of 100 people),(Bottom 3 out of 100 people),(Top 8 out of 100 people),Extremely generous(Top 1 out of 100 people),(Top 3 out of 100 people),(Top 3 out of 100 people),(Bottom 8 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),Extremely good in bed(Top 1 out of 100 people),(Top 18 out of 100 people),(Bottom 8 out of 100 people),Extremely looked down upon by others(Bottom 1 out of 100 people),,,,Erat? Sit sit. Malesuada est commodo ab justo potenti accumsan dapibus elit turpis donec venenatis.,(Bottom 3 out of 100 people),(Top 32 out of 100 people),(Top 18 out of 100 people),Extremely ignorant(Bottom 1 out of 100 people),(Bottom 18 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),Extremely financially stable(Top 1 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Top 32 out of 100 people),(Bottom 18 out of 100 people),(Top 3 out of 100 people),(Bottom 32 out of 100 people),86,Non-binary,,(Bottom 32 out of 100 people),(Top 32 out of 100 people),(Top 32 out of 100 people),(Top 3 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),(Bottom 32 out of 100 people),(Bottom 3 out of 100 people),(Top 18 out of 100 people),(Top 8 out of 100 people),(Top 18 out of 100 people),(Bottom 3 out of 100 people),Extremely respected by others(Top 1 out of 100 people),(Bottom 3 out of 100 people),82,Non-binary,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_6GsgvaDXjAHtCFE,,,,,34.4373,-119.8341,test,,97,Male,An option not listed here,Imperdiet temporibus odio donec porta auctor pharetra nonummy metus dui vivamus interdum.,Male,,Prefer not to say,Prefer not to say,In a relationship,Prefer not to say,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/22 13:34,11/17/22 13:34,Survey Test,,100,0,TRUE,11/17/22 13:34,R_a3FCX2zhUmLMzHg,,,,,34.4373,-119.8341,test,,80,Prefer not to say,An option not listed here,"Platea eleifend ante vehicula eros elementum! Consequat proin lacus pharetra ab molestie, eleifend cursus.",Male,,Prefer not to say,"Yes, I consider myself polyamorous.",Single,,,,,5,0,1,6,3,7,8,0,5,9,9,8,1,8,Female,,Male,(Bottom 32 out of 100 people),(Top 18 out of 100 people),Extremely intelligent(Top 1 out of 100 people),(Bottom 18 out of 100 people),(Top 18 out of 100 people),(Top 3 out of 100 people),Average (Top 50 out of 100 people),Extremely unattractive body(Bottom 1 out of 100 people),Average (Top 50 out of 100 people),Extremely good earning potential(Top 1 out of 100 people),(Bottom 32 out of 100 people),Average (Top 50 out of 100 people),(Top 18 out of 100 people),Average (Top 50 out of 100 people),Yes,,,"Iaculis, nibh eros risus? Culpa duis eleifend pede maecenas culpa erat bibendum, risus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
