age,sex,sex_orient,sex_orient_4_TEXT,gender,gender_3_TEXT,race,poly_identity,rel_status,num_partners,num_partners_3_TEXT,name_partner,name_partner1,name_partner2,bud_allo_1,bud_allo_2,bud_allo_3,bud_allo_4,bud_allo_5,bud_allo_6,bud_allo_7,bud_allo_8,bud_allo_9,bud_allo_10,bud_allo_11,bud_allo_12,bud_allo_13,bud_allo_14,attncheck9,orange_gender ,orange_gender _3_TEXT,blue_gender,blue_gender_3_TEXT,self_ambition1,self_ambition2 ,attn_check8,self_intel1,self_intel2,self_kind1 ,self_kind2 ,self_attract1,self_attract2 ,self_finance1 ,self_finance2,self_sexy1 ,self_sexy2,self_status1 ,self_status2 ,soi_partners,soi_oneencounter,soi_shortterm,soi_sexonly_1,soi_casual_agreement_1,soi_longterm_reverse_1,soi_fantasies1,soi_arousal,soi_fantasies2,fin_invest,time_invest,emot_close,roles_blue ,roles_orange,actual_a_ambition1,actual_a_ambition2,attn_check10a,actual_a_intel1,actual_a_intel2,actual_a_kind1,actual_a_kind2,actual_a_attract1,actual_a_attract2,actual_a_finance1,actual_a_finance2,actual_a_sexy1,actual_a_sexy2,actual_a_status1,actual_a_status2,actual_a_age,actual_a_gender ,actual_a_gender _4_TEXT,actual_b_ambition1,actual_b_ambition2 ,actual_b_intel1,actual_b_intel2 ,actual_b_kind1 ,actual_b_kind2 ,actual_b_attract1,actual_b_attract2,actual_b_finance1,actual_b_finance2 ,actual_b_sexy1 ,actual_b_sexy2 ,actual_b_status1 ,actual_b_status2 ,actual_b_age ,actual_b_gender ,actual_b_gender _4_TEXT,jealousy_proneness_1,jealousy_intensity_1,jealousy_proneness1_1,jealousy_intensity1_1,jealousy_proneness2_1,jealousy_intensity2_1,jealousy_sexual ,jealousy_emotional ,jealousy_sexual1,jealousy_emotional1,jealousy_sexual2,jealous_emotional2,fin_invest_actual,time_invest_actual ,emot_close_actual,roles_partnerA,roles_partnerB,actual_ambition1,actual_ambition2 ,actual_intel1,actual_intel2 ,actual_kind1,actual_kind2,actual_attract1,actual_attract2,actual_finance1,actual_finance2,actual_sexy1,actual_sexy2,actual_status1,attn_check10b,actual_status2 ,actual_partner_age ,actual_gender,actual_gender_4_TEXT,poly_attn
What is your age (in years)?,What is the sex you were assigned at birth?,Which of the following best describes your sexual orientation? - Selected Choice,Which of the following best describes your sexual orientation? - An option not listed here - Text,What is your gender? - Selected Choice,What is your gender? - An option not listed here - Text,Which of the following best describes your race/ethnicity? (Select all that apply.),"Would you consider yourself polyamorous? 
 

Note: Polyamory is defined as a relationship orientation in which participants can pursue more than one long-term romantic partner and where these additional relationships are consented to and known about by all people involved.",What is your relationship status?,How many romantic partners do you currently have? - Selected Choice,How many romantic partners do you currently have? - 3 or more (please specify how many): - Text,What are the initials of your current romantic partner?,What are the initials of your first current romantic partner?,What are the initials of your second current romantic partner?,"For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Ambition (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Physical Attractiveness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Intelligence (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Good in Bed (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Kindness (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Social Status (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#3498db;"">Financial Prospects (Partner Blue)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Ambition (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Physical Attractiveness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Intelligence (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Good in Bed (Partner Orange)</span></strong>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Kindness (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <span style=""color:#d35400;""><strong>Social Status (Partner Orange)</strong></span>","For the following questions, we are interested in what you ideally desire in two long-term romantic partners (partner Blue and partner Orange) that you would have at the same time. Below are some of the many ways that romantic partners tend to be different from one another.



You have 70 points to divide between these two ideal partners in whichever way you see fit. For each trait, you can award your ideal partners as few as zero points and as many as 10 points. When allocating these points, think about how much of a given trait you would like each ideal long-term partner to have. Remember: you are limited to a total of 70 points for both partners. This means that in order to add points to one quality, you must take points from another, and the more points you assign to one partner overall, the fewer will be available for the other. So be sure to only give points to the qualities that you truly want in each ideal partner. - <strong><span style=""color:#d35400;"">Financial Prospects (Partner Orange)</span>","Please choose (Top 3 out of 100 people).



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",What gender should partner Orange be? - Selected Choice,What gender should partner Orange be? - An option not listed here - Text,What gender should partner Blue be? - Selected Choice,What gender should partner Blue be? - An option not listed here - Text,How driven are you?,How ambitious are you?,"Please choose (Top 18 out of 100 people). 



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How intelligent are you?,How knowledgeable are you?,How generous are you?,How considerate are you?,How attractive is your face?,How attractive is your body?,How financially stable are you?,How good is your earning potential?,How good in bed are you?,How strong is your sexual desire?,How respected by others are you?,How looked up to by others are you?,With how many different partners have you had sex within the past 12 months?,With how many different partners have you had sexual intercourse on one and only one occasion?,With how many different partners have you had sexual intercourse without having an interest in a long-term committed relationship with this person?,Sex without love is OK. - 1,"I can imagine myself being comfortable and enjoying ""casual"" sex with different partners. - 1","I do not want to have sex with a person until I am sure that we will have a long-term, serious relationship. - 1",How often do you have fantasies about having sex with someone you are not in a committed romantic relationship with?,How often do you experience sexual arousal when you are in contact with someone you are not in a committed romantic relationship with?,"In everyday life, how often do you have spontaneous fantasies about having sex with someone you have just met?","If you were in a long-term, romantic relationship with both partner Blue and partner Orange, how would you divide your financial investment between the two partners?","If you were in a long-term, romantic relationship with both partner Blue and partner Orange, how would you divide your time between the two partners?",How emotionally close do you think you would feel to partner Blue compared to partner Orange?,What roles would you envision partner Blue taking in your life? (Please select all that apply.),What roles would you envision partner Orange taking in your life? (Please select all that apply.),How driven is your first current partner [QID263-ChoiceTextEntryValue]?,How ambitious is your first current partner [QID263-ChoiceTextEntryValue]?,"Please choose (Top 1 out of 100 people). 



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How intelligent is your first current partner [QID263-ChoiceTextEntryValue]?,How knowledgeable is your first current partner [QID263-ChoiceTextEntryValue]?,How generous is your first current partner [QID263-ChoiceTextEntryValue]?,How considerate is your first current partner [QID263-ChoiceTextEntryValue]?,How attractive is your first current partner [QID263-ChoiceTextEntryValue]'s face?,How attractive is your first current partner [QID263-ChoiceTextEntryValue]'s body?,How financially stable is your first current partner [QID263-ChoiceTextEntryValue]?,How good is your first current partner [QID263-ChoiceTextEntryValue]'s earning potential?,How good in bed is your first current partner [QID263-ChoiceTextEntryValue]?,How strong is your first current partner [QID263-ChoiceTextEntryValue]'s sexual desire?,How respected by others is your first current partner  [QID263-ChoiceTextEntryValue]?,How looked up to by others is your first current partner  [QID263-ChoiceTextEntryValue]?,How old is your first current partner [QID263-ChoiceTextEntryValue] (in years)?,What gender is your first current partner [QID263-ChoiceTextEntryValue]? - Selected Choice,What gender is your first current partner [QID263-ChoiceTextEntryValue]? - An option not listed here - Text,How driven is your second current partner [QID264-ChoiceTextEntryValue]?,How ambitious is your second current partner [QID264-ChoiceTextEntryValue]?,How intelligent is your second current partner [QID264-ChoiceTextEntryValue]?,How knowledgeable is your second current partner [QID264-ChoiceTextEntryValue]?,How generous is your second current partner [QID264-ChoiceTextEntryValue]?,How considerate is your second current partner [QID264-ChoiceTextEntryValue]?,How attractive is your second current partner [QID264-ChoiceTextEntryValue]'s face?,How attractive is your second current partner [QID264-ChoiceTextEntryValue]'s body?,How financially stable is your second current partner [QID264-ChoiceTextEntryValue]?,How good is your second current partner [QID264-ChoiceTextEntryValue]'s earning potential?,How good in bed is your second current partner [QID264-ChoiceTextEntryValue]?,How strong is your second current partner [QID264-ChoiceTextEntryValue]'s sexual desire?,How respected by others is your second current partner [QID264-ChoiceTextEntryValue]?,How looked up to by others is your second current partner [QID264-ChoiceTextEntryValue]?,How old is your second current partner [QID264-ChoiceTextEntryValue]?,What gender is your second current partner [QID264-ChoiceTextEntryValue]? - Selected Choice,What gender is your second current partner [QID264-ChoiceTextEntryValue]? - An option not listed here - Text,"In your current romantic relationship with [QID262-ChoiceTextEntryValue], how prone are you to feeling jealousy? - 1",Think back to the most jealousy-provoking event in your current romantic relationship with [QID262-ChoiceTextEntryValue]. How jealous did you feel? - 1,"In your current romantic relationship with [QID263-ChoiceTextEntryValue], how prone are you to feeling jealousy? - 1",Think back to the most jealousy-provoking event in your current romantic relationship with [QID263-ChoiceTextEntryValue]. How jealous did you feel? - 1,Think back to the most jealousy-provoking event in your current romantic relationship with [QID264-ChoiceTextEntryValue]. How jealous did you feel? - 1,"In your current romantic relationship with [QID264-ChoiceTextEntryValue], how prone are you to feeling jealousy? - 1","Imagine [QID262-ChoiceTextEntryValue] enjoying passionate sexual intercourse with someone else.



This is a purely sexual relationship. By this we mean having sexual intercourse with someone else, but not forming an emotional attachment to them.



How jealous would this make you feel?","Imagine [QID262-ChoiceTextEntryValue] forming a deep emotional attachment to someone else.  



This would be a purely emotional/romantic relationship. By this we mean falling in love with or becoming deeply emotionally attached to someone else, but not having sexual intercourse with them.



How jealous would this make you feel?","Imagine [QID263-ChoiceTextEntryValue] enjoying passionate sexual intercourse with someone else.



This is a purely sexual relationship. By this we mean having sexual intercourse with someone else, but not forming an emotional attachment to them.



How jealous would this make you feel?","Imagine [QID263-ChoiceTextEntryValue]  forming a deep emotional attachment to someone else.



This would be a purely emotional/romantic relationship. By this we mean falling in love with or becoming deeply emotionally attached to someone else, but not having sexual intercourse with them.



How jealous would this make you feel?","Imagine [QID264-ChoiceTextEntryValue] enjoying passionate sexual intercourse with someone else.



This is a purely sexual relationship. By this we mean having sexual intercourse with someone else, but not forming an emotional attachment to them.



How jealous would this make you feel?","Imagine [QID264-ChoiceTextEntryValue]  forming a deep emotional attachment to someone else.



This would be a purely emotional/romantic relationship. By this we mean falling in love with someone else, but not having sexual intercourse with them.



How jealous would this make you feel?","How do you divide your financial investment between your two partners, [QID263-ChoiceTextEntryValue] and [QID264-ChoiceTextEntryValue]?","How do you divide your time investment between your two partners, [QID263-ChoiceTextEntryValue] and [QID264-ChoiceTextEntryValue]?",How emotionally close do you feel to [QID263-ChoiceTextEntryValue] compared to [QID264-ChoiceTextEntryValue]?,What roles does [QID263-ChoiceTextEntryValue] take in your life? (Please select all that apply.),What roles does [QID264-ChoiceTextEntryValue] take in your life? (Please select all that apply.),How driven is your current partner [QID262-ChoiceTextEntryValue]?,How ambitious is your current partner [QID262-ChoiceTextEntryValue]?,How intelligent is your current partner [QID262-ChoiceTextEntryValue]?,How knowledgeable is your current partner [QID262-ChoiceTextEntryValue]?,How generous is your current partner [QID262-ChoiceTextEntryValue]?,How considerate is your current partner [QID262-ChoiceTextEntryValue]?,How attractive is your current partner [QID262-ChoiceTextEntryValue]'s face?,How attractive is your current partner [QID262-ChoiceTextEntryValue]'s body?,How financially stable is your current partner [QID262-ChoiceTextEntryValue]?,How good is your current partner [QID262-ChoiceTextEntryValue]'s earning potential?,How good in bed is your current partner [QID262-ChoiceTextEntryValue]?,How strong is your current partner [QID262-ChoiceTextEntryValue]'s sexual desire?,How respected by others is your current partner [QID262-ChoiceTextEntryValue]?,"Please choose (Top 1 out of 100 people).



Not everyone pays close attention when taking surveys. This is to check that you are reading and answering the questions.",How looked up to by others is your current partner [QID262-ChoiceTextEntryValue]?,How old is your current partner [QID262-ChoiceTextEntryValue]?,What gender is your current partner [QID262-ChoiceTextEntryValue]? - Selected Choice,What gender is your current partner [QID262-ChoiceTextEntryValue]? - An option not listed here - Text,What motivated you to enter into a polyamorous relationship?
"{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_4_TEXT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_4_TEXT""}","{""ImportId"":""QID162""}","{""ImportId"":""QID169""}","{""ImportId"":""QID14""}","{""ImportId"":""QID120""}","{""ImportId"":""QID120_3_TEXT""}","{""ImportId"":""QID262_TEXT""}","{""ImportId"":""QID263_TEXT""}","{""ImportId"":""QID264_TEXT""}","{""ImportId"":""QID186_1""}","{""ImportId"":""QID186_2""}","{""ImportId"":""QID186_3""}","{""ImportId"":""QID186_4""}","{""ImportId"":""QID186_5""}","{""ImportId"":""QID186_6""}","{""ImportId"":""QID186_7""}","{""ImportId"":""QID186_8""}","{""ImportId"":""QID186_9""}","{""ImportId"":""QID186_10""}","{""ImportId"":""QID186_11""}","{""ImportId"":""QID186_12""}","{""ImportId"":""QID186_13""}","{""ImportId"":""QID186_14""}","{""ImportId"":""QID259""}","{""ImportId"":""QID243""}","{""ImportId"":""QID243_4_TEXT""}","{""ImportId"":""QID244""}","{""ImportId"":""QID244_3_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID106""}","{""ImportId"":""QID256""}","{""ImportId"":""QID107""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117""}","{""ImportId"":""QID118""}","{""ImportId"":""QID285""}","{""ImportId"":""QID286""}","{""ImportId"":""QID287""}","{""ImportId"":""QID288_1""}","{""ImportId"":""QID289_1""}","{""ImportId"":""QID290_1""}","{""ImportId"":""QID291""}","{""ImportId"":""QID292""}","{""ImportId"":""QID293""}","{""ImportId"":""QID248""}","{""ImportId"":""QID249""}","{""ImportId"":""QID253""}","{""ImportId"":""QID254""}","{""ImportId"":""QID260""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID258""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID202""}","{""ImportId"":""QID203""}","{""ImportId"":""QID204""}","{""ImportId"":""QID205""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID207""}","{""ImportId"":""QID207_4_TEXT""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID218""}","{""ImportId"":""QID219""}","{""ImportId"":""QID220""}","{""ImportId"":""QID221""}","{""ImportId"":""QID222""}","{""ImportId"":""QID223_TEXT""}","{""ImportId"":""QID224""}","{""ImportId"":""QID224_4_TEXT""}","{""ImportId"":""QID184_1""}","{""ImportId"":""QID182_1""}","{""ImportId"":""QID267_1""}","{""ImportId"":""QID266_1""}","{""ImportId"":""QID269_1""}","{""ImportId"":""QID268_1""}","{""ImportId"":""QID278""}","{""ImportId"":""QID279""}","{""ImportId"":""QID281""}","{""ImportId"":""QID282""}","{""ImportId"":""QID283""}","{""ImportId"":""QID284""}","{""ImportId"":""QID271""}","{""ImportId"":""QID276""}","{""ImportId"":""QID277""}","{""ImportId"":""QID274""}","{""ImportId"":""QID275""}","{""ImportId"":""QID226""}","{""ImportId"":""QID227""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID257""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240_TEXT""}","{""ImportId"":""QID241""}","{""ImportId"":""QID241_4_TEXT""}","{""ImportId"":""QID189_TEXT""}"
57,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1,3,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,1,,1,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,1,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1,3,,1,,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,1,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
